Entity,Code,Year,driver_raw,loss_ha,driver
Malaysia,MYS,2015,Tree cover loss driven by agriculture,312206.12,Agriculture (commodity)
Malaysia,MYS,2015,Tree cover loss driven by logging,108700.02,Logging
Malaysia,MYS,2015,Tree cover loss driven by the mining or energy industry,6745.469,Mining & energy
Malaysia,MYS,2015,Tree cover loss driven by non-fire natural disturbances,3766.9827,Natural (non-fire)
Malaysia,MYS,2015,Tree cover loss driven by settlements and infrastructure,6689.158,Settlements & infrastructure
Malaysia,MYS,2015,Tree cover loss driven by shifting cultivation,10478.491,Shifting cultivation
Malaysia,MYS,2015,Tree cover loss driven by wildfire,5444.765,Wildfire
Malaysia,MYS,2016,Tree cover loss driven by agriculture,377952.56,Agriculture (commodity)
Malaysia,MYS,2016,Tree cover loss driven by logging,136933.2,Logging
Malaysia,MYS,2016,Tree cover loss driven by the mining or energy industry,9193.088,Mining & energy
Malaysia,MYS,2016,Tree cover loss driven by non-fire natural disturbances,3094.313,Natural (non-fire)
Malaysia,MYS,2016,Tree cover loss driven by settlements and infrastructure,9865.711,Settlements & infrastructure
Malaysia,MYS,2016,Tree cover loss driven by shifting cultivation,13071.916,Shifting cultivation
Malaysia,MYS,2016,Tree cover loss driven by wildfire,15204.139,Wildfire
Malaysia,MYS,2017,Tree cover loss driven by agriculture,324419.0,Agriculture (commodity)
Malaysia,MYS,2017,Tree cover loss driven by logging,125472.33,Logging
Malaysia,MYS,2017,Tree cover loss driven by the mining or energy industry,6170.1704,Mining & energy
Malaysia,MYS,2017,Tree cover loss driven by non-fire natural disturbances,2177.8162,Natural (non-fire)
Malaysia,MYS,2017,Tree cover loss driven by settlements and infrastructure,8503.602,Settlements & infrastructure
Malaysia,MYS,2017,Tree cover loss driven by shifting cultivation,10201.864,Shifting cultivation
Malaysia,MYS,2017,Tree cover loss driven by wildfire,6172.72,Wildfire
Malaysia,MYS,2018,Tree cover loss driven by agriculture,291041.3,Agriculture (commodity)
Malaysia,MYS,2018,Tree cover loss driven by logging,121135.195,Logging
Malaysia,MYS,2018,Tree cover loss driven by the mining or energy industry,6261.6743,Mining & energy
Malaysia,MYS,2018,Tree cover loss driven by non-fire natural disturbances,1238.5453,Natural (non-fire)
Malaysia,MYS,2018,Tree cover loss driven by settlements and infrastructure,6413.646,Settlements & infrastructure
Malaysia,MYS,2018,Tree cover loss driven by shifting cultivation,8437.562,Shifting cultivation
Malaysia,MYS,2018,Tree cover loss driven by wildfire,3378.7688,Wildfire
Malaysia,MYS,2019,Tree cover loss driven by agriculture,268534.25,Agriculture (commodity)
Malaysia,MYS,2019,Tree cover loss driven by logging,104022.586,Logging
Malaysia,MYS,2019,Tree cover loss driven by the mining or energy industry,4328.8735,Mining & energy
Malaysia,MYS,2019,Tree cover loss driven by non-fire natural disturbances,926.7741,Natural (non-fire)
Malaysia,MYS,2019,Tree cover loss driven by settlements and infrastructure,6584.967,Settlements & infrastructure
Malaysia,MYS,2019,Tree cover loss driven by shifting cultivation,7367.9937,Shifting cultivation
Malaysia,MYS,2019,Tree cover loss driven by wildfire,3569.551,Wildfire
Malaysia,MYS,2020,Tree cover loss driven by agriculture,193194.34,Agriculture (commodity)
Malaysia,MYS,2020,Tree cover loss driven by logging,58533.46,Logging
Malaysia,MYS,2020,Tree cover loss driven by the mining or energy industry,3673.788,Mining & energy
Malaysia,MYS,2020,Tree cover loss driven by non-fire natural disturbances,914.32733,Natural (non-fire)
Malaysia,MYS,2020,Tree cover loss driven by settlements and infrastructure,4220.15,Settlements & infrastructure
Malaysia,MYS,2020,Tree cover loss driven by shifting cultivation,6173.1533,Shifting cultivation
Malaysia,MYS,2020,Tree cover loss driven by wildfire,1977.5059,Wildfire
Malaysia,MYS,2021,Tree cover loss driven by agriculture,201875.48,Agriculture (commodity)
Malaysia,MYS,2021,Tree cover loss driven by logging,55349.61,Logging
Malaysia,MYS,2021,Tree cover loss driven by the mining or energy industry,4960.8364,Mining & energy
Malaysia,MYS,2021,Tree cover loss driven by non-fire natural disturbances,1024.0466,Natural (non-fire)
Malaysia,MYS,2021,Tree cover loss driven by settlements and infrastructure,4953.805,Settlements & infrastructure
Malaysia,MYS,2021,Tree cover loss driven by shifting cultivation,8198.368,Shifting cultivation
Malaysia,MYS,2021,Tree cover loss driven by wildfire,1132.0378,Wildfire
Malaysia,MYS,2022,Tree cover loss driven by agriculture,170915.62,Agriculture (commodity)
Malaysia,MYS,2022,Tree cover loss driven by logging,59956.55,Logging
Malaysia,MYS,2022,Tree cover loss driven by the mining or energy industry,4254.2295,Mining & energy
Malaysia,MYS,2022,Tree cover loss driven by non-fire natural disturbances,1252.569,Natural (non-fire)
Malaysia,MYS,2022,Tree cover loss driven by settlements and infrastructure,3436.7227,Settlements & infrastructure
Malaysia,MYS,2022,Tree cover loss driven by shifting cultivation,7133.974,Shifting cultivation
Malaysia,MYS,2022,Tree cover loss driven by wildfire,1029.7163,Wildfire
Malaysia,MYS,2023,Tree cover loss driven by agriculture,218108.44,Agriculture (commodity)
Malaysia,MYS,2023,Tree cover loss driven by logging,67826.59,Logging
Malaysia,MYS,2023,Tree cover loss driven by the mining or energy industry,6943.826,Mining & energy
Malaysia,MYS,2023,Tree cover loss driven by non-fire natural disturbances,1300.218,Natural (non-fire)
Malaysia,MYS,2023,Tree cover loss driven by settlements and infrastructure,4868.22,Settlements & infrastructure
Malaysia,MYS,2023,Tree cover loss driven by shifting cultivation,7717.868,Shifting cultivation
Malaysia,MYS,2023,Tree cover loss driven by wildfire,1819.7844,Wildfire
Malaysia,MYS,2024,Tree cover loss driven by agriculture,196314.22,Agriculture (commodity)
Malaysia,MYS,2024,Tree cover loss driven by logging,60804.75,Logging
Malaysia,MYS,2024,Tree cover loss driven by the mining or energy industry,6198.694,Mining & energy
Malaysia,MYS,2024,Tree cover loss driven by non-fire natural disturbances,1821.5009,Natural (non-fire)
Malaysia,MYS,2024,Tree cover loss driven by settlements and infrastructure,4930.9536,Settlements & infrastructure
Malaysia,MYS,2024,Tree cover loss driven by shifting cultivation,8111.336,Shifting cultivation
Malaysia,MYS,2024,Tree cover loss driven by wildfire,4250.561,Wildfire
